3658;Borsodbóta;13
3426;Borsodgeszt;3
3462;Borsodivánka;10
3672;Borsodnádasd;10
3671;Borsodnádasd;5
3623;Borsodszentgyörgy;10
3796;Borsodszirák;5
2644;Borsosberény;15
8479;Borszörcsök;15
8428;Borzavár;10
8772;Börzönce;10
9167;Bősárkány;11
7811;Bosta;13
7475;Bőszénfa;18
4955;Botpalád;6
7900;Botykapeterd;6
9727;Bozsok;15
3994;Bózsva;6
9752;Bozzai;11
5527;Bucsa;16
9792;Bucsu;10
8925;Bucsuszentlászló;15
8893;Bucsuta;15
2093;Budajenő;7
2011;Budakalász;7
2092;Budakeszi;7
2040;Budaörs;7
1069;Budapest;
1011;Budapest;
1012;Budapest;
1013;Budapest;
1014;Budapest;
1015;Budapest;
1016;Budapest;
1021;Budapest;
1022;Budapest;
1023;Budapest;
1024;Budapest;
1025;Budapest;
1026;Budapest;
1027;Budapest;
1028;Budapest;
1029;Budapest;
1031;Budapest;
1032;Budapest;
1033;Budapest;
1034;Budapest;
1035;Budapest;
1036;Budapest;
1037;Budapest;
1038;Budapest;
1039;Budapest;
1041;Budapest;
1042;Budapest;
1043;Budapest;
1044;Budapest;
1045;Budapest;
1046;Budapest;
1047;Budapest;
1048;Budapest;
1051;Budapest;
1052;Budapest;
1053;Budapest;
1054;Budapest;
1055;Budapest;
1056;Budapest;
1061;Budapest;
1062;Budapest;
1063;Budapest;
1064;Budapest;
1065;Budapest;
1066;Budapest;
1067;Budapest;
1068;Budapest;
1071;Budapest;
1072;Budapest;
1073;Budapest;
1074;Budapest;
1075;Budapest;
1076;Budapest;
1077;Budapest;
1078;Budapest;
1081;Budapest;
1082;Budapest;
1083;Budapest;
1084;Budapest;
1085;Budapest;
1086;Budapest;
1087;Budapest;
1088;Budapest;
1089;Budapest;
1091;Budapest;
1092;Budapest;
1093;Budapest;
1094;Budapest;
1095;Budapest;
1096;Budapest;
1097;Budapest;
1098;Budapest;
1101;Budapest;
1102;Budapest;
1103;Budapest;
1104;Budapest;
1105;Budapest;
1106;Budapest;
1107;Budapest;
1108;Budapest;
1111;Budapest;
1112;Budapest;
1113;Budapest;
1114;Budapest;
1115;Budapest;
1116;Budapest;
1117;Budapest;
1118;Budapest;
1119;Budapest;
1121;Budapest;
1122;Budapest;
1123;Budapest;
1124;Budapest;
1125;Budapest;
1126;Budapest;
1131;Budapest;
1132;Budapest;
1133;Budapest;
1134;Budapest;
1135;Budapest;
1136;Budapest;
1137;Budapest;
1138;Budapest;
1139;Budapest;
1141;Budapest;
1142;Budapest;
1143;Budapest;
1144;Budapest;
1145;Budapest;
1146;Budapest;
1147;Budapest;
1148;Budapest;
1149;Budapest;
1151;Budapest;
1152;Budapest;
1153;Budapest;
1154;Budapest;
1155;Budapest;
1156;Budapest;
1157;Budapest;
1158;Budapest;
1161;Budapest;
1162;Budapest;
1163;Budapest;
1164;Budapest;
1165;Budapest;
1171;Budapest;
1172;Budapest;
1173;Budapest;
1174;Budapest;
1181;Budapest;
1182;Budapest;
1183;Budapest;
1184;Budapest;
1185;Budapest;
1186;Budapest;
1188;Budapest;
1191;Budapest;
1192;Budapest;
1193;Budapest;
1194;Budapest;
1195;Budapest;
1196;Budapest;
1201;Budapest;
1202;Budapest;
1203;Budapest;
1204;Budapest;
1205;Budapest;
1211;Budapest;
1212;Budapest;
1213;Budapest;
1214;Budapest;
1215;Budapest;
1221;Budapest;
1222;Budapest;
1223;Budapest;
1224;Budapest;
1225;Budapest;
1237;Budapest;
1238;Budapest;
1239;Budapest;
1529;Budapest;
6114;Bugac;12
6114;Bugacpusztaháza;12
2347;Bugyi;7
4483;Buj;13
3047;Buják;19
9740;Bük;11
9737;Bük;10
3422;Bükkábrány;10
3554;Bükkaranyos;5
3648;Bükkmogyorósd;5
7682;Bükkösd;5
3335;Bükkszék;3
3257;Bükkszenterzsébet;4
3557;Bükkszentkereszt;4
3346;Bükkszentmárton;5
3414;Bükkzsérc;4
7973;Bürüs;5
7273;Büssü;3
3821;Büttös;11
8695;Buzsák;5
9725;Cák;10
9165;Cakóháza;6
7013;Cece;1
4732;Cégénydányád;13
2738;Cegléd;7
2700;Cegléd;7
2737;Ceglédbercel;7
9541;Celldömölk;10
9500;Celldömölk;10
3123;Cered;19
9624;Chernelházadamonya;10
5462;Cibakháza;2
3973;Cigánd;5
7161;Cikó;18
9364;Cirák;6
5551;Csabacsűd;16
5609;Csabaszabadi;16
2064;Csabdi;1
8474;Csabrendek;8
9375;Csáfordjánosfa;6
4967;Csaholc;13
8163;Csajág;8
8735;Csákány;11
9919;Csákánydoroszló;10
8073;Csákberény;1
8083;Csákvár;1
6915;Csanádalberti;14
5662;Csanádapáca;16
6913;Csanádpalota;14
9654;Csánig;10
3015;Csány;4
7964;Csányoszró;3
6647;Csanytelek;14
8756;Csapi;15
9372;Csapod;6
5621;Csárdaszállás;16
7811;Csarnóta;3
4844;Csaroda;13
2858;Császár;9
6239;Császártöltés;12
4973;Császló;13
6523;Csátalja;12
8943;Csatár;15
5064;Csataszög;2
2888;Csatka;9
6448;Csávoly;12
7935;Csebény;3
3052;Csécse;19
4742;Csegöld;13
8445;Csehbánya;8
9833;Csehi;10
9834;Csehimindszent;10
2949;Csém;9
2713;Csemő;7
9764;Csempeszkopács;10
6765;Csengele;14
4765;Csenger;13
4743;Csengersima;13
4764;Csengerújfalu;13
6222;Csengőd;12
9611;Csénye;10
3837;Csenyéte;5
2946;Csép;9
5475;Csépa;2
9735;Csepreg;10
9375;Csér;6
7683;Cserdi;3
7472;Cserénfa;11
3413;Cserépfalu;5
3417;Cserépváralja;5
2694;Cserháthaláp;19
2676;Cserhátsurány;19
3066;Cserhátszentiván;19
5465;Cserkeszőlő;2
7673;Cserkút;3
3648;Csernely;5
8372;Cserszegtomaj;15
8951;Csertalakos;15
7900;Csertő;3
8419;Csesznek;8
8973;Csesztreg;15
2678;Csesztve;19
8417;Csetény;8
2212;Csévharaszt;7
7225;Csibrák;18
6424;Csikéria;12
7341;Csikóstőttős;18
9127;Csikvánd;6
3442;Csincse;5
9836;Csipkerek;10
2673;Csitár;19
3848;Csobád;5
3927;Csobaj;5
2014;Csobánka;7
8999;Csöde;1
8495;Csögle;11
8074;Csókakő;5
4145;Csökmő;9
7526;Csököly;12
7555;Csokonyavisonta;11
3647;Csokvaomány;7
2521;Csolnok;11
6135;Csólyospálos;14
7253;Csoma;14
2161;Csomád;15
7432;Csombárd;3
8700;Csömend;8
8957;Csömödér;1
2141;Csömör;6
9513;Csönge;16
6648;Csongrád;8
6640;Csongrád;15
8918;Csonkahegyhát;8
7940;Csonkamindszent;17
8229;Csopak;11
8041;Csór;11
9300;Csorna;15
8873;Csörnyeföld;7
9962;Csörötnek;10
